record_id,ao_locus_tag,liu_ao_locus_tag,gene_name,function,record_type,subsystem,subsystem_source,subsystem_confidence,subsystem_rationale,pathway_order,compartment,compartment_source,compartment_confidence,glycosylation_role,glycosylation_role_source,glycosylation_role_confidence,sig_all_three,direction_all_three,record_origin,evidence_source,yeast_ortholog,citation,mapping_status,mapping_method,manual_review_required,uniprot_accession,kegg_gene_id,kegg_ko,ncbi_gene_id
AOC00001,AO090020000010,AO090020000010,,Tetratricopeptide repeat and J domain-containing co-chaperone DNJ1,secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,True,up,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2U5A5,aor:AO090020000010,ko:K09523,5996479
AOC00002,AO090701000797,AO090701000797,,Endoplasmic reticulum-Golgi intermediate compartment protein,secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,True,up,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2U7L0,aor:AO090701000797,ko:K20366,5995645
AOC00003,AO090120000396,AO090120000396,,"DNA, SC113",secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,True,up,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2U637,aor:AO090120000396,ko:K00863,5996370
AOC00004,AO090003000350,AO090003000350,,Poly [ADP-ribose] polymerase (PARP) (EC 2.4.2.-),secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,True,up,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2ULM4,aor:AO090003000350,ko:K28005,5991526
AOC00005,AO090011000473,AO090011000473,,"DNA, SC011",secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,True,up,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2U0E2,aor:AO090011000473,ko:K00306,5998209
AOC00006,AO090009000104,AO090009000104,,"DNA, SC009",secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,True,up,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2UV02,aor:AO090009000104,,5988545
AOC00007,AO090701000291,AO090701000291,,"DNA, SC111",secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,True,up,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2U8U3,aor:AO090701000291,ko:K12274,5995212
AOC00008,AO090011000515,AO090011000515,,"DNA, SC011",secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,True,up,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2U0A7,aor:AO090011000515,ko:K11718,5998244
AOC00009,AO090038000134,AO090038000134,,"DNA, SC038",secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,True,up,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2U392,aor:AO090038000134,,5997201
AOC00010,AO090005000572,AO090005000572,,"DNA, SC005",secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,True,up,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2US49,aor:AO090005000572,,5989563
AOC00011,AO090023000457,AO090023000457,,"DNA, SC023",secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,True,up,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2UHG3,aor:AO090023000457,,5993006
AOC00012,AO090010000166,AO090010000166,oryJ,Oryzines biosynthesis cluster protein J,secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,False,,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2TXF5,,,
AOC00013,AO090009000277,AO090009000277,,"DNA, SC009",secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,True,down,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2UUK8,aor:AO090009000277,,5988689
AOC00014,AO090003000845,AO090003000845,,"DNA, SC003",secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,False,,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2UKE1,aor:AO090003000845,,5991959
AOC00015,AO090005001111,AO090005001111,,"DNA, SC005",secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,True,down,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2UQT5,aor:AO090005001111,,5990027
AOC00016,AO090001000482,AO090001000482,,"DNA, SC001",secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,False,,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2UN71,aor:AO090001000482,ko:K20222,5990967
AOC00017,AO090023000256,AO090023000256,,Guanine deaminase (Guanase) (EC 3.5.4.3) (Guanine aminohydrolase),secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,True,down,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2UHY8,aor:AO090023000256,ko:K01487,5992831
AOC00018,AO090026000056,AO090026000056,,chitinase (EC 3.2.1.14),secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,True,down,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2UFW1,aor:AO090026000056,,5993584
AOC00019,AO090012000986,AO090012000986,,"DNA, SC012",secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,False,,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2UBI3,aor:AO090012000986,,5988395
AOC00020,AO090001000003,AO090001000003,,"DNA, SC001",secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,False,,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2UPE6,aor:AO090001000003,,5990542
AOC00021,AO090001000009,AO090001000009,,"DNA, SC001",secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,False,,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2UPE2,aor:AO090001000009,,5990546
AOC00022,AO090001000014,AO090001000014,,"DNA, SC001",secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,False,,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2UPD7,aor:AO090001000014,,5990551
AOC00023,AO090001000024,AO090001000024,aclH,Flavin-dependent halogenase aclH (EC 1.14.14.-) (Aspirochlorine biosynthesis protein H),secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,False,,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2UPC7,aor:AO090001000024,ko:K23319,5990561
AOC00024,AO090001000028,AO090001000028,aclL,Cytochrome P450 monooxygenase aclL (EC 1.-.-.-) (Aspirochlorine biosynthesis protein L),secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,False,,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2UPC4,,ko:K23321,
AOC00025,AO090001000029,AO090001000029,aclZ,C6 finger domain transcription factor aclZ (Aspirochlorine biosynthesis protein Z),secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,False,,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2UPC3,,,
AOC00026,AO090001000035,AO090001000035,aclB,Cytochrome P450 monooxygenase aclB (EC 1.-.-.-) (Aspirochlorine biosynthesis protein B),secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,False,,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2UPB7,,ko:K23320,
AOC00027,AO090001000038,AO090001000038,aclT,Thioredoxin reductase aclT (EC 1.8.1.-) (Aspirochlorine biosynthesis protein T),secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,False,,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2UPB4,aor:AO090001000038,ko:K22124,5990574
AOC00028,AO090001000042,AO090001000042,aclJ,Dipeptidase aclJ (EC 3.4.13.19) (Aspirochlorine biosynthesis protein J),secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,False,,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2UPB0,aor:AO090001000042,ko:K01273,
AOC00029,AO090001000046,AO090001000046,aclU,O-methyltransferase aclU (EC 2.1.1.-) (Aspirochlorine biosynthesis protein U),secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,False,,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2UPA6,,ko:K23323,
AOC00030,AO090001000051,AO090001000051,,"DNA, SC001",secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,False,,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2UPA1,aor:AO090001000051,,5990587
AOC00031,AO090001000058,AO090001000058,,"DNA, SC001",secretory_client,,unassigned,low,Secretory clients are not assigned to machinery subsystems.,,unknown,unassigned,low,none,,,False,,liu2014,database_prediction,,10.1186/1752-0509-8-73,exact,direct AO090 match in UniProt cross-reference,False,Q2UP95,aor:AO090001000058,,5990593
