ao_locus_tag,kegg_gene_id,uniprot_accession,ncbi_gene_id,gene_name,function,compartment_raw
AO090023000944,aor:AO090023000944,P0C1B3,5993438,amy1; amy2,"Alpha-amylase A type-1/2 (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase) (Taka-amylase A) (TAA)",SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
AO090120000196,aor:AO090120000196,P0C1B3,5996200,amy1; amy2,"Alpha-amylase A type-1/2 (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase) (Taka-amylase A) (TAA)",SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
AO090003001036,aor:AO090003001036,P12547,5992127,alp1,Alkaline protease 1 (ALP) (EC 3.4.21.63) (Aspergillopeptidase B) (Aspergillus proteinase B) (Elastase) (Elastinolytic serine proteinase) (Oryzin),SUBCELLULAR LOCATION: Secreted.
AO090001000075,aor:AO090001000075,P24021,5990607,nucS,Nuclease S1 (EC 3.1.30.1) (Deoxyribonuclease S1) (Endonuclease S1) (Single-stranded-nucleate endonuclease),
AO090010000493,aor:AO090010000493,P46076,5999611,,Neutral protease 2 (EC 3.4.24.39) (Deuterolysin) (Neutral protease II) (NPII),
AO090005000029,aor:AO090005000029,P52956,5989098,cutL1,Cutinase 1 (EC 3.1.1.74) (Cutin hydrolase 1) (L1),SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:16135240}.
AO090103000074,aor:AO090103000074,P78581,5998807,,Tannase (EC 3.1.1.20) [Cleaved into: Tannase 33 kDa subunit; Tannase 30 kDa subunit],
AO090120000474,aor:AO090120000474,Q06902,5996434,pepA,Aspergillopepsin-1 (EC 3.4.23.18) (Acid protease A2) (Aspartic protease pepA) (Aspergillopepsin I) (Aspergillopepsin O) (PEPO) (Aspergillopeptidase A) (PEPA),SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:8138}.
AO090010000769,aor:AO090010000769,Q2TVY7,5999853,vps10,Vacuolar protein sorting/targeting protein 10 (Carboxypeptidase Y receptor) (CPY receptor) (Sortilin vps10) (Vacuolar protein sorting-associated protein 10),"SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Prevacuolar compartment membrane {ECO:0000269|PubMed:20622126}; Multi-pass membrane protein {ECO:0000269|PubMed:20622126}. Note=Cycles between the Golgi apparatus and the prevacuolar compartment. {ECO:0000250}."
AO090010000708,aor:AO090010000708,Q2TW47,5999793,,NADPH-dependent reductive aminase (RedAm) (EC 1.1.1.-),
AO090010000489,,Q2TWN3,,uba4,Adenylyltransferase and sulfurtransferase uba4 (Common component for nitrate reductase and xanthine dehydrogenase protein F) (Ubiquitin-like protein activator 4) [Includes: Molybdopterin-synthase adenylyltransferase (EC 2.7.7.80) (Adenylyltransferase uba4) (Sulfur carrier protein MOCS2A adenylyltransferase); Molybdopterin-synthase sulfurtransferase (EC 2.8.1.11) (Sulfur carrier protein MOCS2A sulfurtransferase) (Sulfurtransferase uba4)],"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:P38820}."
AO090010000171,aor:AO090010000171,Q2TXF0,5999340,oryfasA,Fatty acid synthase subunit alpha (EC 2.3.1.86) (Oryzines biosynthesis cluster protein oryfasA) [Includes: 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100) (Beta-ketoacyl reductase); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41)],
AO090010000156,aor:AO090010000156,Q2TXG3,5999327,oryfasB,Fatty acid synthase subunit beta (EC 2.3.1.86) (S-acyl fatty acid synthase thioesterase) (EC 3.1.2.14) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39) (Oryzines biosynthesis cluster protein oryfasB)],
AO090103000407,aor:AO090103000407,Q2TY35,,,E2 ubiquitin-conjugating enzyme (EC 2.3.2.23),
AO090011000622,aor:AO090011000622,Q2U020,5998331,MCM7,DNA replication licensing factor MCM7 (EC 3.6.4.12),"SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123, ECO:0000256|RuleBase:RU365012}."
AO090011000052,aor:AO090011000052,Q2U1F3,5997848,lapA,Leucine aminopeptidase A (EC 3.4.11.-) (Leucyl aminopeptidase A) (LAPA),"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:19129648, ECO:0000269|PubMed:20803144}."
AO090701000566,,Q2U852,,csyB,Acylalkylpyrone synthase csyB (EC 2.3.1.-) (Type III polyketide synthase csyB),
AO090012000997,aor:AO090012000997,Q2UBH5,5988403,atg8,Autophagy-related protein 8 (Autophagy-related ubiquitin-like modifier atg8),"SUBCELLULAR LOCATION: Cytoplasmic vesicle, autophagosome membrane {ECO:0000269|PubMed:16896216, ECO:0000269|PubMed:21204928}; Lipid-anchor {ECO:0000269|PubMed:16896216}. Vacuole membrane {ECO:0000250|UniProtKB:P38182, ECO:0000269|PubMed:21204928}; Lipid-anchor {ECO:0000250|UniProtKB:P38182}. Lipid droplet {ECO:0000269|PubMed:16896216}."
AO090012000729,,Q2UC58,,ssn3,Serine/threonine-protein kinase SSN3 (EC 2.7.11.22) (EC 2.7.11.23) (Cyclin-dependent kinase 8),SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
AO090012000502,,Q2UCP6,,aroM,Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03143}.
AO090012000445,aor:AO090012000445,Q2UCU3,5987935,lacA,Beta-galactosidase A (EC 3.2.1.23) (Acidic beta-galactosidase) (Ao-beta-gal) (Lactase A),SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:23688418}.
AO090026000323,aor:AO090026000323,Q2UF71,,chsY,Chitin synthase Y (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase Y) (Class-V chitin synthase Y),SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}. Cell septum {ECO:0000250|UniProtKB:G5EB74}. Cell tip {ECO:0000250|UniProtKB:G5EB74}.
AO090023000647,,Q2UGZ7,5993172,atg1,Serine/threonine-protein kinase atg1 (EC 2.7.11.1) (Autophagy-related protein 1),SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23136971}. Preautophagosomal structure membrane {ECO:0000269|PubMed:23136971}; Peripheral membrane protein {ECO:0000269|PubMed:23136971}.
AO090023000401,aor:AO090023000401,Q2UHL4,5992955,pgaI,Endopolygalacturonase I (EC 3.2.1.15) (Pectinase 1) (Polygalacturonase I) (PG-I),SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
AO090023000001,aor:AO090023000001,Q2UIM2,5993498,abfB,Alpha-L-arabinofuranosidase B (ABF B) (Arabinosidase B) (EC 3.2.1.55),SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
AO090003000476,aor:AO090003000476,Q2ULB2,5991638,mns1B,"Mannosyl-oligosaccharide alpha-1,2-mannosidase 1B (EC 3.2.1.113) (Class I alpha-mannosidase 1B) (Man(9)-alpha-mannosidase 1B)",SUBCELLULAR LOCATION: Cytoplasmic vesicle lumen {ECO:0000269|PubMed:16495665}.
AO090003000354,aor:AO090003000354,Q2ULM2,5991528,lap2,probable leucine aminopeptidase 2 (EC 3.4.11.-) (Aminopeptidase II) (Leucyl aminopeptidase 2) (LAP2),SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10899618}.
AO090001000664,aor:AO090001000664,Q2UMQ5,5991133,esa1,Histone acetyltransferase ESA1 (EC 2.3.1.48) (Protein 2-hydroxyisobutyryltransferase ESA1) (EC 2.3.1.-) (Protein acetyltransferase ESA1) (EC 2.3.1.-) (Protein crotonyltransferase ESA1) (EC 2.3.1.-),"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:O94446}. Chromosome {ECO:0000250|UniProtKB:O94446}. Note=Following DNA damage, localizes to sites of DNA damage, such as double strand breaks (DSBs). {ECO:0000250|UniProtKB:O94446}."
AO090001000066,,Q2UP89,5990599,faeB-1,Probable feruloyl esterase B-1 (EC 3.1.1.73) (Ferulic acid esterase B-1) (FAEB-1),SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
AO090026000083,aor:AO090026000083,Q8NK92,5993610,aorO,Aorsin (EC 3.4.21.-),"SUBCELLULAR LOCATION: Secreted, extracellular space {ECO:0000269|PubMed:12519073}."
