record_id,record_type,source_locus_tag,gene_name,yeast_ortholog,plain_english_function,mapping_status,mapping_method,subsystem,subsystem_source,manual_review_required,candidate_identifiers,review_row_type,issue_type,recommended_action,locus_tag,liu_subsystem,final_subsystem,assignment_source,evidence_summary,conflicting_candidates,pathway_order,assignment_confidence
AOR00018,machinery_component,AO090005001357,,APL2,"CPY pathway, HDSV",exact,direct_locus_tag,,unassigned,True,Q2UQ81,review_needed,conflicting subsystem evidence,Review the named evidence; retain unassigned until one interpretation is supported.,,,,,,,,
AOR00020,machinery_component,AO090009000481,,APL4,"CPY pathway, HDSV",exact,direct_locus_tag,,unassigned,True,Q2UU30,review_needed,conflicting subsystem evidence,Review the named evidence; retain unassigned until one interpretation is supported.,,,,,,,,
AOR00023,machinery_component,AO090020000601,,APM1,"CPY pathway, HDSV",exact,direct_locus_tag,,unassigned,True,Q2U3V6,review_needed,conflicting subsystem evidence,Review the named evidence; retain unassigned until one interpretation is supported.,,,,,,,,
AOR00237,machinery_component,AO090010000460,,SEC1 ,"LDSV; Vacuolar protein sorting , VPS (Golgi to plasma membrane) ",exact,direct_locus_tag,,unassigned,True,Q2TWR0,review_needed,conflicting subsystem evidence,Review the named evidence; retain unassigned until one interpretation is supported.,,,,,,,,
AOR00246,machinery_component,AO090005001666,,SEC20,Qb-SNARE,unresolved,unresolved,snare,liu2014_description,True,none found,review_needed,unresolved current identifier,Review the named evidence; retain unassigned until one interpretation is supported.,,,,,,,,
AOR00329,machinery_component,AO090012000504,,USO1,"COPII; Vesicular transport of proteins between ER and Golgi, SNARE complex assembly protein ",exact,direct_locus_tag,,unassigned,True,Q2UCP4,review_needed,conflicting subsystem evidence,Review the named evidence; retain unassigned until one interpretation is supported.,,,,,,,,
AOR00350,machinery_component,AO090011000795,,VTC4,VTC subunit,ambiguous,ambiguous,,unassigned,True,Q2TZM5; Q9Y8E3,review_needed,ambiguous current identifier,Review the named evidence; retain unassigned until one interpretation is supported.,,,,,,,,
AOR00354,machinery_component,AO090003000801,,YDJ1,Chaperone for protein translocation,exact,direct_locus_tag,folding,kegg_pathway,True,Q2UKI0,review_needed,conflicting subsystem evidence,Review the named evidence; retain unassigned until one interpretation is supported.,,,,,,,,
AOR00018,,AO090005001357,,APL2,,,,,,True,,rejected_candidate,rejected subsystem candidate,Retain the rejected candidate for audit; do not promote it without additional support.,AO090005001357,,,unassigned,conflicting liu2014 description evidence,cpy_pathway; hdsv,,low
AOR00020,,AO090009000481,,APL4,,,,,,True,,rejected_candidate,rejected subsystem candidate,Retain the rejected candidate for audit; do not promote it without additional support.,AO090009000481,,,unassigned,conflicting liu2014 description evidence,cpy_pathway; hdsv,,low
AOR00023,,AO090020000601,,APM1,,,,,,True,,rejected_candidate,rejected subsystem candidate,Retain the rejected candidate for audit; do not promote it without additional support.,AO090020000601,,,unassigned,conflicting liu2014 description evidence,cpy_pathway; hdsv,,low
AOR00237,,AO090010000460,,SEC1 ,,,,,,True,,rejected_candidate,rejected subsystem candidate,Retain the rejected candidate for audit; do not promote it without additional support.,AO090010000460,,,unassigned,conflicting liu2014 description evidence,cpy_pathway; ldsv,,low
AOR00329,,AO090012000504,,USO1,,,,,,True,,rejected_candidate,rejected subsystem candidate,Retain the rejected candidate for audit; do not promote it without additional support.,AO090012000504,,,unassigned,conflicting liu2014 description evidence,copii; snare,,low
AOR00354,,AO090003000801,,YDJ1,,,,,,True,,rejected_candidate,rejected subsystem candidate,Retain the rejected candidate for audit; do not promote it without additional support.,AO090003000801,,folding,kegg_pathway,conflicting liu2014 description evidence,folding; tc,40.0,low
