Liu ID,Liu yeast ortholog,Liu subsystem cell,Liu description,derived subsystem,derived subsystem source,derived confidence,derived rationale,derived function,sig_all_three,direction_all_three
AO090003000257,KAR2,ERAD,"ERADL; Protein folding/UPR , ER chaperone bipA ",folding,curated_liu_composite,high,KAR2/BiP is the primary ER Hsp70 folding chaperone; its ERAD contribution is secondary quality-control context.,"ERADL; Protein folding/UPR , ER chaperone bipA ",True,up
AO090120000461,ALG2,Dolichol pathway,"Dolichol pathway; Glycosylation/modification, mannosyltransferase ",dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,"Dolichol pathway; Glycosylation/modification, mannosyltransferase ",True,up
AO090001000698,"OST1, OST2",Erglycosylation,"Erglycosylation; Glycosylation/modification , oligosaccharyltransferase complex, αSU ",er_glycosylation,liu2014,high,Verified Liu 2014 Table S1 subsystem.,"Erglycosylation; Glycosylation/modification , oligosaccharyltransferase complex, αSU ",True,up
AO090103000069,STT3,Erglycosylation,"Erglycosylation; Glycosylation/modification , oligosaccharyltransferase complex, SU ",er_glycosylation,liu2014,high,Verified Liu 2014 Table S1 subsystem.,"Erglycosylation; Glycosylation/modification , oligosaccharyltransferase complex, SU ",True,up
AO090001000733,PDI1,Folding,"protein folding; Protein folding/UPR , Protein disulfide isomerase pdiAh ",folding,liu2014,high,Verified Liu 2014 Table S1 subsystem.,"protein folding; Protein folding/UPR , Protein disulfide isomerase pdiAh ",True,up
AO090012000213,ANP1/VAN1,Golgi processing,Golgi processing/ERADC,golgi_processing,liu2014,high,Verified Liu 2014 Table S1 subsystem.,Golgi processing/ERADC,False,
AO090701000065,ACT1,,Actin ActA: cell polarity,,unassigned,low,Available evidence does not distinguish a primary subsystem.,Actin ActA: cell polarity,False,
AO090003001087,AHA1,,Co-chaperone: activator of Hsp82,folding,liu2014_description,medium,Specific function stated in Liu 2014 description.,Co-chaperone: activator of Hsp82,False,
AO090011000927,AKR1,,Palmitoyl transferase,,unassigned,low,Available evidence does not distinguish a primary subsystem.,Palmitoyl transferase,False,
AO090103000403,ALG1,Dolichol pathway,Dolichol pathway,dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,Dolichol pathway,False,
AO090001000490,ALG11,Dolichol pathway,"Dolichol pathway; Glycosylation/modification , Required for asparagine-linked glycosylation ",dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,"Dolichol pathway; Glycosylation/modification , Required for asparagine-linked glycosylation ",False,
AO090009000318,ALG12,Dolichol pathway,Dolichol pathway,dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,Dolichol pathway,False,
AO090009000234,ALG13,,Dolichol pathway,dolichol_pathway,liu2014_description,medium,Specific function stated in Liu 2014 description.,Dolichol pathway,False,
AO090120000319,ALG3,Dolichol pathway,Dolichol pathway,dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,Dolichol pathway,False,
AO090701000739,ALG5,Dolichol pathway,"Dolichol pathway; Glycosylation/modification , dolichyl-phosphate glucosyltransferase ",dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,"Dolichol pathway; Glycosylation/modification , dolichyl-phosphate glucosyltransferase ",True,up
AO090020000410,ALG6,Dolichol pathway,"Dolichol pathway; Glycosylation/modification , glucosyltransferase ",dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,"Dolichol pathway; Glycosylation/modification , glucosyltransferase ",False,
AO090026000526,ALG7,Dolichol pathway,"Dolichol pathway; Glycosylation/modification ,  N-acetyl-glucosaminephosphotransferase ",dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,"Dolichol pathway; Glycosylation/modification ,  N-acetyl-glucosaminephosphotransferase ",True,up
AO090102000146,ALG8,Dolichol pathway,Dolichol pathway,dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,Dolichol pathway,False,
AO090012000489,ALG9,,"Dolichol pathway; Glycosylation/modification , mannosyltransferase ",dolichol_pathway,liu2014_description,medium,Specific function stated in Liu 2014 description.,"Dolichol pathway; Glycosylation/modification , mannosyltransferase ",False,
AO090005001458,AMS1,,"CPY; Vacuolar protein sorting ,  vacuolar α-mannosidase",cpy_pathway,liu2014_description,medium,Specific function stated in Liu 2014 description.,"CPY; Vacuolar protein sorting ,  vacuolar α-mannosidase",False,
