ao_locus_tag,gene_name,yeast_ortholog,direction,function,subsystem,subsystem_source,compartment,glycosylation_role,glycosylation_role_source,glycosylation_role_confidence,evidence_source,mapping_status,manual_review_required
AO090120000461,,ALG2,up,"Dolichol pathway; Glycosylation/modification, mannosyltransferase ",dolichol_pathway,liu2014,unknown,n_glycan_assembly,liu2014,high,yeast_inference,exact,False
AO090701000739,,ALG5,up,"Dolichol pathway; Glycosylation/modification , dolichyl-phosphate glucosyltransferase ",dolichol_pathway,liu2014,unknown,n_glycan_assembly,liu2014,high,yeast_inference,exact,False
AO090026000526,,ALG7,up,"Dolichol pathway; Glycosylation/modification ,  N-acetyl-glucosaminephosphotransferase ",dolichol_pathway,liu2014,unknown,n_glycan_assembly,liu2014,high,yeast_inference,exact,False
AO090009000313,,CNE1,up,"Glycoprotein chaperone ClxA, protein folding; Trimming and quality control of N-glycosylated folded proteins, Calnexin—chaperone, folding clxA ",folding,liu2014,unknown,n_glycan_trimming,liu_description_or_current_annotation,medium,aspergillus_homolog,exact,False
AO090023000811,cpr2,"CPR1, CPR2, CPR5 ",up,"Protein folding/UPR , Peptidyl-prolyl cis-trans isomerase ",folding,liu2014,ER,none,,,aspergillus_homolog,exact,False
AO090120000486,,"CPR1, CPR3 ",down,"Protein folding/UPR , cyclophilin type peptidyl-prolyl cis-trans isomerase",folding,liu2014,ER,none,,,unknown,exact,False
AO090701000076,,DER1/DFM1,up,"Protein degradation , ER associated protein degradation ",erad,liu2014,unknown,none,,,unknown,exact,False
AO090003000589,,DPM1,up,"Dolichol pathway; Glycosylation/modification , dolichol phosphate mannose synthase ",dolichol_pathway,liu2014,ER,n_glycan_assembly,liu2014,high,yeast_inference,exact,False
AO090102000145,,EMP47,up,"Vesicular transport of proteins between ER and Golgi, COPII vesicle membrane component ",copii,liu2014,membrane,none,,,aspergillus_homolog,exact,False
AO090102000650,,ERD2,up,COPI,copi,liu2014,unknown,none,,,yeast_inference,exact,False
AO090003000036,,ERJ5,up,DnaJ-domain protein,folding,liu2014,membrane,none,,,aspergillus_homolog,exact,False
AO090011000874,,ERJ5/SCJ1,up,"Protein folding/UPR , ER located DNA-J protein ",folding,liu2014,ER,none,,,yeast_inference,exact,False
AO090005000630,,ERO1,up,protein folding,folding,liu2014,unknown,none,,,yeast_inference,exact,False
AO090102000528,,"ERP2, ERP3, ERP4",up,COPII,copii,liu2014,membrane,none,,,unknown,exact,False
AO090038000244,,ERV29,up,"COPII; Vesicular transport of proteins between ER and Golgi, glycoprotein cargo receptor ",copii,liu2014,membrane,none,,,yeast_inference,exact,False
AO090701000797,,ERV41,up,"COPII; Vesicular transport of proteins between ER and Golgi, COPII vesicle fusion ",copii,liu2014,unknown,none,,,unknown,exact,False
