record_id,ao_locus_tag,gene_name,function,subsystem,subsystem_source,subsystem_confidence,subsystem_rationale,pathway_order,compartment,sig_all_three,direction_all_three,manual_review_required,secondary_subsystems,placement_status
AOR00001,AO090701000065,,Actin ActA: cell polarity,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,cytosol,False,,False,,unassigned
AOR00002,AO090003001087,,Co-chaperone: activator of Hsp82,folding,liu2014_description,medium,Specific function stated in Liu 2014 description.,40.0,ER,False,,False,,assigned
AOR00003,AO090011000927,akr1,Palmitoyl transferase,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00004,AO090103000403,,Dolichol pathway,dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,20.0,unknown,False,,False,,assigned
AOR00005,AO090001000490,,"Dolichol pathway; Glycosylation/modification , Required for asparagine-linked glycosylation ",dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,20.0,unknown,False,,False,,assigned
AOR00006,AO090009000318,,Dolichol pathway,dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,20.0,unknown,False,,False,,assigned
AOR00007,AO090009000234,ALG13,Dolichol pathway,dolichol_pathway,liu2014_description,medium,Specific function stated in Liu 2014 description.,20.0,ER,False,,False,,assigned
AOR00008,AO090120000461,,"Dolichol pathway; Glycosylation/modification, mannosyltransferase ",dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,20.0,unknown,True,up,False,,assigned
AOR00009,AO090120000319,alg3,Dolichol pathway,dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,20.0,unknown,False,,False,,assigned
AOR00010,AO090701000739,,"Dolichol pathway; Glycosylation/modification , dolichyl-phosphate glucosyltransferase ",dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,20.0,unknown,True,up,False,,assigned
AOR00011,AO090020000410,,"Dolichol pathway; Glycosylation/modification , glucosyltransferase ",dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,20.0,unknown,False,,False,,assigned
AOR00012,AO090026000526,,"Dolichol pathway; Glycosylation/modification ,  N-acetyl-glucosaminephosphotransferase ",dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,20.0,unknown,True,up,False,,assigned
AOR00013,AO090102000146,alg8,Dolichol pathway,dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,20.0,unknown,False,,False,,assigned
AOR00014,AO090012000489,,"Dolichol pathway; Glycosylation/modification , mannosyltransferase ",dolichol_pathway,liu2014_description,medium,Specific function stated in Liu 2014 description.,20.0,unknown,False,,False,,assigned
AOR00015,AO090005001458,,"CPY; Vacuolar protein sorting ,  vacuolar α-mannosidase",cpy_pathway,liu2014_description,medium,Specific function stated in Liu 2014 description.,120.0,vacuole,False,,False,,assigned
AOR00016,AO090023000901,,MTC complex subunit,golgi_processing,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,90.0,unknown,False,,False,,assigned
AOR00017,AO090012000213,,Golgi processing/ERADC,golgi_processing,liu2014,high,Verified Liu 2014 Table S1 subsystem.,90.0,unknown,False,,False,erad,assigned
AOR00018,AO090005001357,,"CPY pathway, HDSV",,unassigned,low,Available evidence does not distinguish a primary subsystem.,,membrane,False,,True,,unassigned
AOR00019,AO090206000061,,"ALPpathway; Cellular export and secretion , vesicle coat complex AP-2, alpha subunit",,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00020,AO090009000481,,"CPY pathway, HDSV",,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,True,,unassigned
AOR00021,AO090673000002,,ALPpathway,alp_pathway,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,130.0,vacuole,False,,False,,assigned
AOR00022,AO090026000703,,ALPpathway,alp_pathway,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,130.0,membrane,False,,False,,assigned
AOR00023,AO090020000601,,"CPY pathway, HDSV",,unassigned,low,Available evidence does not distinguish a primary subsystem.,,membrane,False,,True,,unassigned
AOR00024,AO090009000223,,ALPpathway,alp_pathway,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,130.0,vacuole,False,,False,,assigned
AOR00025,AO090003000425,,ALPpathway,alp_pathway,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,130.0,membrane,False,,False,,assigned
