original_id,proposed_current_id,verified_current_id,mapping_method,supporting_sources,source_agreement,alternative_candidates,audit_status,audit_notes,manual_review_required
AO090701000065,AO090701000065,AO090701000065,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:10099859; RefSeq transcript:XM_003190199.2; RefSeq protein:XP_003190247.2; KEGG:aor:AO090701000065; KEGG->GeneID:10099859; UniProt:Q2U9E1,False
AO090003001087,AO090003001087,AO090003001087,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5992169; RefSeq transcript:XM_001820134.3; RefSeq protein:XP_001820186.1; KEGG:aor:AO090003001087; KEGG->GeneID:5992169; KEGG->UniProt:Q2UJT1; UniProt:Q2UJT1,False
AO090011000927,AO090011000927,AO090011000927,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5998590; RefSeq transcript:XM_023233168.1; RefSeq protein:XP_023093699.1; KEGG:aor:AO090011000927; KEGG->GeneID:5998590; UniProt:Q7Z8U2,False
AO090103000403,AO090103000403,AO090103000403,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5999089; RefSeq transcript:XM_001826915.1; RefSeq protein:XP_001826967.1; KEGG:aor:AO090103000403; KEGG->GeneID:5999089; KEGG->UniProt:Q2TY39; UniProt:Q2TY39,False
AO090001000490,AO090001000490,AO090001000490,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5990975; RefSeq transcript:XM_001818952.3; RefSeq protein:XP_001819004.3; KEGG:aor:AO090001000490; KEGG->GeneID:5990975; KEGG->UniProt:Q2UN63; UniProt:Q2UN63,False
AO090009000318,AO090009000318,AO090009000318,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5988728; RefSeq transcript:XM_023234735.1; RefSeq protein:XP_023088607.1; KEGG:aor:AO090009000318; KEGG->GeneID:5988728; KEGG->UniProt:Q2UUG9; UniProt:Q2UUG9,False
AO090009000234,AO090009000234,AO090009000234,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5988653; RefSeq transcript:XM_001816671.1; RefSeq protein:XP_001816723.1; KEGG:aor:AO090009000234; KEGG->GeneID:5988653; KEGG->UniProt:Q2UUP4; UniProt:Q2UUP4,False
AO090120000461,AO090120000461,AO090120000461,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5996426; RefSeq transcript:XM_001824115.3; RefSeq protein:XP_001824167.1; KEGG:aor:AO090120000461; KEGG->GeneID:5996426; KEGG->UniProt:Q2U5Y1; UniProt:Q2U5Y1,False
AO090120000319,AO090120000319,AO090120000319,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5996303; RefSeq transcript:XM_001823992.3; RefSeq protein:XP_001824044.1; KEGG:aor:AO090120000319; KEGG->GeneID:5996303; KEGG->UniProt:Q2U6A4; UniProt:Q2U6A4,False
AO090701000739,AO090701000739,AO090701000739,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5995596; RefSeq transcript:XM_001823487.3; RefSeq protein:XP_001823539.1; KEGG:aor:AO090701000739; KEGG->GeneID:5995596; KEGG->UniProt:Q2U7Q9; UniProt:Q2U7Q9,False
AO090020000410,AO090020000410,AO090020000410,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5996818; RefSeq transcript:XM_001824680.3; RefSeq protein:XP_001824732.1; KEGG:aor:AO090020000410; KEGG->GeneID:5996818; KEGG->UniProt:Q2U4B6; UniProt:Q2U4B6,False
