record_id,locus_tag,yeast_ortholog,liu_subsystem,final_subsystem,assignment_source,evidence_summary,conflicting_candidates,pathway_order,manual_review_required,assignment_confidence
AOR00001,AO090701000065,ACT1,,,unassigned,,,,False,low
AOR00002,AO090003001087,AHA1,,folding,liu2014_description,liu2014 description,,40.0,False,medium
AOR00003,AO090011000927,AKR1,,,unassigned,,,,False,low
AOR00004,AO090103000403,ALG1,Dolichol pathway,dolichol_pathway,liu2014,Liu 2014 Table S1 subsystem,,20.0,False,high
AOR00005,AO090001000490,ALG11,Dolichol pathway,dolichol_pathway,liu2014,Liu 2014 Table S1 subsystem,,20.0,False,high
AOR00006,AO090009000318,ALG12,Dolichol pathway,dolichol_pathway,liu2014,Liu 2014 Table S1 subsystem,,20.0,False,high
AOR00007,AO090009000234,ALG13,,dolichol_pathway,liu2014_description,liu2014 description,,20.0,False,medium
AOR00008,AO090120000461,ALG2,Dolichol pathway,dolichol_pathway,liu2014,Liu 2014 Table S1 subsystem,,20.0,False,high
AOR00009,AO090120000319,ALG3,Dolichol pathway,dolichol_pathway,liu2014,Liu 2014 Table S1 subsystem,,20.0,False,high
AOR00010,AO090701000739,ALG5,Dolichol pathway,dolichol_pathway,liu2014,Liu 2014 Table S1 subsystem,,20.0,False,high
AOR00011,AO090020000410,ALG6,Dolichol pathway,dolichol_pathway,liu2014,Liu 2014 Table S1 subsystem,,20.0,False,high
AOR00012,AO090026000526,ALG7,Dolichol pathway,dolichol_pathway,liu2014,Liu 2014 Table S1 subsystem,,20.0,False,high
AOR00013,AO090102000146,ALG8,Dolichol pathway,dolichol_pathway,liu2014,Liu 2014 Table S1 subsystem,,20.0,False,high
AOR00014,AO090012000489,ALG9,,dolichol_pathway,liu2014_description,liu2014 description,,20.0,False,medium
AOR00015,AO090005001458,AMS1,,cpy_pathway,liu2014_description,liu2014 description,,120.0,False,medium
AOR00016,AO090023000901,ANP1,,golgi_processing,yeast_scaffold,yeast scaffold,,90.0,False,medium
AOR00017,AO090012000213,ANP1/VAN1,Golgi processing,golgi_processing,liu2014,Liu 2014 Table S1 subsystem,,90.0,False,high
AOR00018,AO090005001357,APL2,,,unassigned,conflicting liu2014 description evidence,cpy_pathway; hdsv,,True,low
AOR00019,AO090206000061,APL3,,,unassigned,,,,False,low
AOR00020,AO090009000481,APL4,,,unassigned,conflicting liu2014 description evidence,cpy_pathway; hdsv,,True,low
AOR00021,AO090673000002,APL5,,alp_pathway,yeast_scaffold,yeast scaffold,,130.0,False,medium
AOR00022,AO090026000703,APL6,,alp_pathway,yeast_scaffold,yeast scaffold,,130.0,False,medium
AOR00023,AO090020000601,APM1,,,unassigned,conflicting liu2014 description evidence,cpy_pathway; hdsv,,True,low
AOR00024,AO090009000223,APM3,,alp_pathway,yeast_scaffold,yeast scaffold,,130.0,False,medium
AOR00025,AO090003000425,APS3,,alp_pathway,yeast_scaffold,yeast scaffold,,130.0,False,medium
AOR00026,AO090003001338,ARC18,,,unassigned,,,,False,low
AOR00027,AO090005000825,ARC35,,,unassigned,,,,False,low
AOR00028,AO090038000254,ARF2/ARF1,COPII,copii,liu2014,Liu 2014 Table S1 subsystem,,70.0,False,high
AOR00029,AO090005000978,ARL3 ,COPI,copi,liu2014,Liu 2014 Table S1 subsystem,,80.0,False,high
AOR00030,AO090012000548,ARP2,,,unassigned,,,,False,low
AOR00031,AO090026000672,ARP3,,,unassigned,,,,False,low
AOR00032,AO090005001206,ATG27,,,unassigned,,,,False,low
AOR00033,AO090012000993,BET1,COPII,copii,liu2014,Liu 2014 Table S1 subsystem,,70.0,False,high
AOR00034,AO090038000605,BET3,,copii,liu2014_description,liu2014 description,,70.0,False,medium
AOR00035,AO090003001153,BET4 ,,,unassigned,,,,False,low
AOR00036,AO090009000664,BET5,,copii,liu2014_description,liu2014 description,,70.0,False,medium
AOR00037,AO090003000749,BIM1,,,unassigned,,,,False,low
