field,definition,allowed_values,value_meanings,blank_means,source
record_id,Unique row ID generated by this project.,free text (AOR/AOC plus five digits),,This field is not expected to be blank.,generated
ao_locus_tag,Current A. oryzae RIB40 locus tag selected by the ID-mapping step.,free text (AO090 plus nine digits) or blank,,No single current locus was independently verified.,fetched
liu_ao_locus_tag,Locus tag exactly as printed by Liu et al. 2014.,free text,,This field is not expected to be blank.,Liu 2014
liu_source_raw,"The four Liu Table S1 SOURCE cells in order, joined with pipes without changing cell text.",free text,,This field is not expected to be blank.,Liu 2014
liu_table_row,Table S1 physical workbook row.,free text (S1:n),,This field is not expected to be blank.,Liu 2014
gene_name,Current accepted A. oryzae gene symbol where available.,free text or blank,,No accepted short gene symbol was found; use ao_locus_tag instead.,fetched
function,Plain-English function selected from the Liu description or current annotation.,free text or blank,,Neither Liu nor the current annotation supplied a usable description.,generated
record_type,Row type retained so machinery genes cannot be silently mixed with other biological lists.,machinery_component,machinery_component = one gene from Liu's secretion-machinery list,This field is not expected to be blank.,generated
subsystem,Primary secretion-pathway stage used for table grouping and diagram placement.,tc | dolichol_pathway | er_glycosylation | folding | gpi_biosynthesis | erad | copii | copi | golgi_processing | ldsv | hdsv | cpy_pathway | alp_pathway | snare | septin | beta_1_6_glucan_biosynthesis | translation | putative_mitochondria_protein | mitochondrial_m_aaa_protease | blank,tc = entry into the secretion pathway; dolichol_pathway and er_glycosylation = N-glycan assembly/transfer; folding = protein folding; gpi_biosynthesis = GPI-anchor production; erad = ER quality-control degradation; copii = ER-to-Golgi transport; copi = Golgi-to-ER transport; golgi_processing = Golgi glycan processing; ldsv/hdsv = low/high-density secretory vesicles; cpy_pathway/alp_pathway = vacuolar sorting routes; snare = vesicle fusion; remaining values name specialized processes,Not enough evidence to choose one primary pathway stage; the gene remains in the atlas.,generated
subsystem_source,Main evidence route used to assign subsystem; see subsystem_rationale for the gene-specific explanation.,liu2014 | liu2014_description | yeast_scaffold | current_annotation | kegg_pathway | curated_liu_composite | aspergillus_homolog | unassigned,liu2014 = Liu supplied the stage directly; liu2014_description = inferred from Liu's description; yeast_scaffold = inferred through the yeast counterpart; current_annotation = inferred from a current database description; kegg_pathway = inferred from broad KEGG pathway membership; curated_liu_composite = manually reviewed agreement among several Liu clues; aspergillus_homolog = inferred from a related Aspergillus gene; unassigned = no route was strong enough,This field is not expected to be blank.,generated
subsystem_confidence,"Strength of support for the primary subsystem assignment, not confidence in the gene's general function or ID mapping.",high | medium | low,"high = stated directly by Liu or manually reviewed agreement among multiple specific sources; medium = one specific indirect source such as Liu's description, a unique yeast match, or a current annotation; low = only broad KEGG evidence or no defensible assignment",This field is not expected to be blank.,generated
subsystem_rationale,Short explanation for the primary subsystem assignment.,free text,,This field is not expected to be blank.,generated
secondary_subsystem,Reviewed additional pathway role retained on the same one-gene row.,subsystem value or blank,,No separate secondary role was reviewed and retained; this does not prove the gene has only one function.,generated
secondary_subsystem_rationale,Short explanation for the reviewed secondary pathway role.,free text or blank,,No secondary_subsystem was assigned.,generated
pathway_order,Number used only to place subsystem boxes in the pathway diagram.,numeric or blank,"Smaller numbers appear earlier in the diagram; the number is not a confidence score, rank, or biological priority.","No primary subsystem was assigned, so there is no diagram position.",generated
compartment,Controlled label for the gene product's main cellular location.,cytosol | ER | Golgi | vesicle | membrane | vacuole | extracellular | unknown,unknown = available evidence did not support one location; other values name the assigned location,This field is not expected to be blank.,generated
compartment_source,Evidence route used for the compartment label.,uniprot | uniprot_conflict | subsystem_inference | unassigned,"uniprot = one clear UniProt location; uniprot_conflict = UniProt listed conflicting or multiple locations, so compartment is unknown; subsystem_inference = inferred from the assigned pathway stage; unassigned = no usable location evidence",This field is not expected to be blank.,generated
compartment_confidence,Strength of support for the compartment label only.,high | medium | low,high = one clear UniProt location; medium = inferred from a pathway stage; low = conflicting or absent location evidence,This field is not expected to be blank.,generated
glycosylation_role,Specific sugar-modification process assigned to the gene.,n_glycan_assembly | n_glycan_transfer | n_glycan_trimming | golgi_mannosylation | o_glycosylation | gpi_anchor | none,n_glycan_assembly = build the precursor N-glycan; n_glycan_transfer = attach it to a protein; n_glycan_trimming = remove sugars during processing/quality control; golgi_mannosylation = add mannose in the Golgi; o_glycosylation = attach sugars through oxygen; gpi_anchor = build a GPI membrane anchor; none = no role assigned by this atlas,This field is not expected to be blank.,generated
