record_id,ao_locus_tag,liu_ao_locus_tag,liu_source_raw,liu_table_row,gene_name,function,record_type,subsystem,subsystem_source,subsystem_confidence,subsystem_rationale,pathway_order,compartment,compartment_source,compartment_confidence,glycosylation_role,glycosylation_role_source,glycosylation_role_confidence,sig_all_three,direction_all_three,record_origin,evidence_source,yeast_ortholog,citation,mapping_status,mapping_method,manual_review_required,uniprot_accession,kegg_gene_id,kegg_ko,ncbi_gene_id
AOR00001,AO090701000065,AO090701000065,||Oliveira et al 2010-A. niger|,S1:3,,Actin ActA: cell polarity,machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,cytosol,uniprot,high,none,,,False,,liu2014,aspergillus_homolog,ACT1,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2U9E1,aor:AO090701000065,ko:K10355,
AOR00002,AO090003001087,AO090003001087,||Oliveira et al 2010-A. niger|,S1:4,,Co-chaperone: activator of Hsp82,machinery_component,folding,liu2014_description,medium,Specific function stated in Liu 2014 description.,40.0,ER,subsystem_inference,medium,none,,,False,,liu2014,aspergillus_homolog,AHA1,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UJT1,aor:AO090003001087,ko:K26216,5992169
AOR00003,AO090011000927,AO090011000927,||Oliveira et al 2010-A. niger|,S1:5,akr1,Palmitoyl transferase,machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,uniprot_conflict,low,none,,,False,,liu2014,aspergillus_homolog,AKR1,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q7Z8U2,,ko:K20032,
AOR00004,AO090103000403,AO090103000403,inparanoid+besthit|||,S1:6,,Dolichol pathway,machinery_component,dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,20.0,unknown,uniprot_conflict,low,n_glycan_assembly,liu2014,high,False,,liu2014,yeast_inference,ALG1,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2TY39,aor:AO090103000403,ko:K03842,5999089
AOR00005,AO090001000490,AO090001000490,inparanoid+besthit|wang et al 2010-AO||,S1:7,,"Dolichol pathway; Glycosylation/modification , Required for asparagine-linked glycosylation ",machinery_component,dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,20.0,unknown,uniprot_conflict,low,n_glycan_assembly,liu2014,high,False,,liu2014,yeast_inference,ALG11,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UN63,aor:AO090001000490,ko:K03844,5990975
AOR00006,AO090009000318,AO090009000318,inparanoid+besthit|||,S1:8,,Dolichol pathway,machinery_component,dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,20.0,unknown,uniprot_conflict,low,n_glycan_assembly,liu2014,high,False,,liu2014,yeast_inference,ALG12,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UUG9,aor:AO090009000318,ko:K03847,5988728
AOR00007,AO090009000234,AO090009000234,inparanoid+besthit|||,S1:9,ALG13,Dolichol pathway,machinery_component,dolichol_pathway,liu2014_description,medium,Specific function stated in Liu 2014 description.,20.0,ER,uniprot,high,n_glycan_assembly,liu2014_description,medium,False,,liu2014,yeast_inference,ALG13,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UUP4,aor:AO090009000234,ko:K07432,5988653
AOR00008,AO090120000461,AO090120000461,inparanoid+besthit|wang et al 2010-AO||,S1:10,,"Dolichol pathway; Glycosylation/modification, mannosyltransferase ",machinery_component,dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,20.0,unknown,uniprot_conflict,low,n_glycan_assembly,liu2014,high,True,up,liu2014,yeast_inference,ALG2,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2U5Y1,aor:AO090120000461,ko:K03843,5996426
AOR00009,AO090120000319,AO090120000319,inparanoid+besthit|||Kuratsu et al 2007-AO SNARE,S1:11,alg3,Dolichol pathway,machinery_component,dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,20.0,unknown,uniprot_conflict,low,n_glycan_assembly,liu2014,high,False,,liu2014,yeast_inference,ALG3,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2U6A4,aor:AO090120000319,ko:K03845,5996303
AOR00010,AO090701000739,AO090701000739,inparanoid+besthit|wang et al 2010-AO||,S1:12,,"Dolichol pathway; Glycosylation/modification , dolichyl-phosphate glucosyltransferase ",machinery_component,dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,20.0,unknown,uniprot_conflict,low,n_glycan_assembly,liu2014,high,True,up,liu2014,yeast_inference,ALG5,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2U7Q9,aor:AO090701000739,ko:K00729,5995596
AOR00011,AO090020000410,AO090020000410,inparanoid+besthit|wang et al 2010-AO||,S1:13,,"Dolichol pathway; Glycosylation/modification , glucosyltransferase ",machinery_component,dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,20.0,unknown,uniprot_conflict,low,n_glycan_assembly,liu2014,high,False,,liu2014,yeast_inference,ALG6,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2U4B6,aor:AO090020000410,ko:K03848,5996818
AOR00012,AO090026000526,AO090026000526,inparanoid+besthit|wang et al 2010-AO||,S1:14,,"Dolichol pathway; Glycosylation/modification ,  N-acetyl-glucosaminephosphotransferase ",machinery_component,dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,20.0,unknown,uniprot_conflict,low,n_glycan_assembly,liu2014,high,True,up,liu2014,yeast_inference,ALG7,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UEQ3,aor:AO090026000526,ko:K01001,5993992
AOR00013,AO090102000146,AO090102000146,inparanoid+besthit|||,S1:15,alg8,Dolichol pathway,machinery_component,dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,20.0,unknown,uniprot_conflict,low,n_glycan_assembly,liu2014,high,False,,liu2014,yeast_inference,ALG8,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UB20,aor:AO090102000146,ko:K03849,5994423
AOR00014,AO090012000489,AO090012000489,inparanoid+besthit|wang et al 2010-AO||,S1:16,,"Dolichol pathway; Glycosylation/modification , mannosyltransferase ",machinery_component,dolichol_pathway,liu2014_description,medium,Specific function stated in Liu 2014 description.,20.0,unknown,uniprot_conflict,low,n_glycan_assembly,liu2014_description,medium,False,,liu2014,yeast_inference,ALG9,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UCQ6,aor:AO090012000489,ko:K03846,5987972
AOR00015,AO090005001458,AO090005001458,|wang et al 2010-AO||,S1:17,,"CPY; Vacuolar protein sorting ,  vacuolar α-mannosidase",machinery_component,cpy_pathway,liu2014_description,medium,Specific function stated in Liu 2014 description.,120.0,vacuole,subsystem_inference,medium,n_glycan_trimming,liu_description_or_current_annotation,medium,False,,liu2014,unknown,AMS1,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UPY6,aor:AO090005001458,ko:K01191,
